image_id,model,pred_blue,pred_red
graph_001_n01,google/gemma-4-26b-a4b,0,1
graph_001_n01,alibaba/qwen-3.6-35b-a3b,0,1
graph_002_n01,google/gemma-4-26b-a4b,0,1
graph_002_n01,alibaba/qwen-3.6-35b-a3b,0,1
graph_003_n01,google/gemma-4-26b-a4b,1,0
graph_003_n01,alibaba/qwen-3.6-35b-a3b,1,0
graph_004_n01,google/gemma-4-26b-a4b,0,1
graph_004_n01,alibaba/qwen-3.6-35b-a3b,0,1
graph_005_n01,google/gemma-4-26b-a4b,0,1
graph_005_n01,alibaba/qwen-3.6-35b-a3b,0,1
graph_006_n01,google/gemma-4-26b-a4b,0,1
graph_006_n01,alibaba/qwen-3.6-35b-a3b,0,1
graph_007_n01,google/gemma-4-26b-a4b,0,1
graph_007_n01,alibaba/qwen-3.6-35b-a3b,0,1
graph_008_n01,google/gemma-4-26b-a4b,0,1
graph_008_n01,alibaba/qwen-3.6-35b-a3b,0,1
graph_009_n01,google/gemma-4-26b-a4b,1,0
graph_009_n01,alibaba/qwen-3.6-35b-a3b,1,0
graph_010_n01,google/gemma-4-26b-a4b,0,1
graph_010_n01,alibaba/qwen-3.6-35b-a3b,0,1
graph_011_n02,google/gemma-4-26b-a4b,0,2
graph_011_n02,alibaba/qwen-3.6-35b-a3b,0,2
graph_012_n02,google/gemma-4-26b-a4b,1,1
graph_012_n02,alibaba/qwen-3.6-35b-a3b,1,1
graph_013_n02,google/gemma-4-26b-a4b,0,2
graph_013_n02,alibaba/qwen-3.6-35b-a3b,0,2
graph_014_n02,google/gemma-4-26b-a4b,1,1
graph_014_n02,alibaba/qwen-3.6-35b-a3b,1,1
graph_015_n02,google/gemma-4-26b-a4b,0,2
graph_015_n02,alibaba/qwen-3.6-35b-a3b,0,2
graph_016_n02,google/gemma-4-26b-a4b,2,0
graph_016_n02,alibaba/qwen-3.6-35b-a3b,2,0
graph_017_n02,google/gemma-4-26b-a4b,1,1
